task_id,bay_position,task_type,trim_contribution
1,19,unload,-0.6741603810287453
2,11,unload,-0.03463602817769158
3,1,load,-0.7603628196145638
4,17,unload,-0.4476284491170895
5,10,load,-0.022512867662878733
6,4,unload,0.3873156466738669
7,8,unload,0.11469113351840615
8,2,unload,0.737880220721216
9,20,unload,-0.8031536027694113
10,16,load,0.45333721851689196
11,4,load,-0.3824478816802785
12,16,load,0.26183647870731147
13,10,load,-0.04225521598209092
14,12,unload,-0.1314190875576146
15,5,load,-0.2686992293868001
16,9,load,-0.10030435627387142
17,6,unload,0.21651553498984769
18,11,load,0.03961354871828771
19,11,unload,-0.03973127465940723
20,12,unload,-0.076166423853734
21,2,load,-0.5642955096227648
22,15,unload,-0.31383522768272615
23,4,unload,0.3700290639649673
24,3,load,-0.6319461513662744
25,5,unload,0.3522266401997196
26,6,unload,0.24538913660202163
27,8,load,-0.17317080998768905
28,12,load,0.11677034716357339
29,17,load,0.3513366860414861
30,13,unload,-0.1475680827713507
31,13,unload,-0.22445430262435065
32,1,load,-0.7053228696408663
33,9,load,-0.09707175566422903
34,15,unload,-0.3073091078097071
35,9,unload,0.07566778322110794
36,14,load,0.19288983058247028
37,18,unload,-0.45160387722476614
38,7,unload,0.25015862315701426
39,18,unload,-0.4151637222513448
40,3,unload,0.4118233672524013
41,20,unload,-0.4578495442688614
42,17,unload,-0.477097615001504
43,8,load,-0.13825595067875487
44,7,unload,0.3001036520484651
45,18,unload,-0.6276269475856394
46,1,unload,0.4577915170773993
47,2,load,-0.4735367726461407
48,14,unload,-0.26286400008166416
49,19,unload,-0.4644455788191928
50,3,load,-0.38215524894469594
